Nr. Activities|Nr. Resources|Nr. Skills Types
32	10	4
Deadline
42
Activities
Duration|Nr. Successors|Successors
0	13	2 3 4 5 6 7 11 12 27 28 29 30 31 
1	8	10 13 14 15 16 18 20 26 
9	7	14 15 17 18 21 22 23 
3	7	13 15 18 19 22 23 25 
5	4	8 17 21 24 
6	3	13 14 17 
3	2	9 20 
10	2	13 14 
10	1	16 
7	1	19 
3	1	16 
4	1	15 
9	1	32 
3	1	32 
5	1	32 
10	1	32 
2	1	32 
2	1	32 
2	1	32 
1	1	32 
8	1	32 
8	1	32 
10	1	32 
5	1	32 
2	1	32 
5	1	32 
5	1	32 
3	1	32 
6	1	32 
6	1	32 
7	1	32 
0	0	
Resources Skill Mastery
1	1	1	1	
1	0	0	1	
1	0	0	1	
1	1	0	1	
1	0	0	1	
1	0	1	0	
1	0	1	0	
0	1	1	0	
0	1	1	0	
0	1	0	0	
Activities Skill Requirements
0	0	0	0	
0	0	0	1	
0	2	0	0	
0	0	0	2	
0	2	0	0	
0	4	0	0	
2	0	0	0	
0	4	0	0	
3	0	0	0	
0	2	0	0	
0	4	0	0	
1	0	0	0	
0	0	0	2	
1	0	0	0	
0	0	3	0	
0	0	2	0	
0	0	0	2	
4	0	0	0	
0	0	4	0	
0	0	1	0	
0	0	0	4	
1	0	0	0	
2	0	0	0	
0	0	0	4	
1	0	0	0	
0	0	3	0	
0	2	0	0	
1	0	0	0	
1	0	0	0	
3	0	0	0	
0	0	0	3	
0	0	0	0	
