Nr. Activities|Nr. Resources|Nr. Skills Types
32	7	4
Deadline
71
Activities
Duration|Nr. Successors|Successors
0	17	2 3 4 5 6 8 9 10 11 12 13 14 27 28 29 30 31 
1	5	7 15 16 20 26 
7	4	15 17 19 21 
6	3	15 21 25 
3	3	16 20 24 
4	2	17 18 
10	1	22 
7	1	18 
10	1	18 
9	1	19 
10	1	17 
5	1	23 
5	1	16 
1	1	15 
5	1	32 
1	1	32 
4	1	32 
9	1	32 
10	1	32 
1	1	32 
2	1	32 
9	1	32 
1	1	32 
6	1	32 
2	1	32 
3	1	32 
1	1	32 
2	1	32 
5	1	32 
1	1	32 
10	1	32 
0	0	
Resources Skill Mastery
0	1	1	1	
1	1	1	0	
1	0	1	1	
1	0	1	1	
1	1	1	0	
0	1	1	1	
1	1	1	1	
Activities Skill Requirements
0	0	0	0	
0	0	3	0	
0	0	0	2	
0	2	0	0	
3	0	0	0	
0	0	0	4	
0	0	0	2	
4	0	0	0	
0	2	0	0	
1	0	0	0	
0	0	4	0	
1	0	0	0	
0	0	4	0	
0	2	0	0	
0	0	0	4	
1	0	0	0	
0	0	2	0	
2	0	0	0	
0	0	0	4	
0	4	0	0	
3	0	0	0	
0	0	4	0	
0	3	0	0	
0	0	2	0	
0	0	3	0	
0	0	0	1	
0	0	2	0	
0	1	0	0	
0	0	2	0	
0	0	4	0	
0	0	2	0	
0	0	0	0	
